transaction_id,wallet_id,user_id,merchant_id,counterparty_user_id,transaction_type_id,payment_method_id,transaction_status_id,amount,transaction_timestamp,channel,reference_number,created_at
TX000001,W006444,U006444,,,3,3,1,2000000.0,2026-07-28 20:29:43,MOBILE_APP,REF-D6E0D9F8B5A24EAE,2026-07-28 20:29:43
TX000002,W006005,U006005,M000608,,1,4,1,10123168.91,2025-02-25 16:18:54,MOBILE_APP,REF-F2102172FD2D43E5,2025-02-25 16:18:54
TX000003,W008185,U008185,M000109,,1,2,1,671449.0,2026-08-05 11:43:59,MOBILE_APP,REF-16096212404F4975,2026-08-05 11:43:59
TX000004,W007903,U007903,,U000639,2,1,1,447718.51,2026-01-17 16:14:17,BANK,REF-A0F12699141A42E8,2026-01-17 16:14:17
TX000005,W009519,U009519,,,3,6,1,5000000.0,2025-05-25 08:06:40,MOBILE_APP,REF-226B39B958EB4929,2025-05-25 08:06:40
TX000006,W005640,U005640,,,3,6,1,5000000.0,2026-04-21 10:05:51,WEB,REF-1960A9C12B044BDE,2026-04-21 10:05:51
TX000007,W005179,U005179,M000429,,1,1,1,68891.18,2025-04-17 00:52:51,QRIS,REF-5E52BFB992164F10,2025-04-17 00:52:51
TX000008,W004640,U004640,M000816,,1,3,1,1995086.76,2024-09-11 21:26:03,QRIS,REF-EBE7777CF0834D06,2024-09-11 21:26:03
TX000009,W002497,U002497,M000118,,1,2,1,46148.01,2026-05-11 21:06:56,QRIS,REF-010E03DDE66C4597,2026-05-11 21:06:56
TX000010,W006273,U006273,M000814,,1,5,1,750000.0,2026-08-20 20:11:27,MOBILE_APP,REF-34E41792C57943DF,2026-08-20 20:11:27
TX000011,W006805,U006805,,,4,6,1,100000.0,2026-08-18 11:59:30,MOBILE_APP,REF-63397F3F8AD14897,2026-08-18 11:59:30
TX000012,W007454,U007454,M000786,,1,1,1,293532.78,2026-01-02 12:44:53,MOBILE_APP,REF-730206624F934CBE,2026-01-02 12:44:53
TX000013,W003915,U003915,,,3,3,1,100000.0,2026-03-16 06:11:51,MOBILE_APP,REF-D9562D09373E4554,2026-03-16 06:11:51
TX000014,W006215,U006215,M000927,,1,2,1,9169557.88,2026-06-23 23:12:04,MOBILE_APP,REF-9DA47382B8F0403C,2026-06-23 23:12:04
TX000015,W009249,U009249,M000426,,6,1,1,37114.77,2026-06-24 12:11:19,MOBILE_APP,REF-EB336B59AB0F44F3,2026-06-24 12:11:19
TX000016,W003170,U003170,M000431,,1,1,1,148115.95,2026-06-23 20:04:48,QRIS,REF-C2DDDEB46F6940DE,2026-06-23 20:04:48
TX000017,W002070,U002070,,,3,6,1,2000000.0,2026-07-16 05:02:02,MOBILE_APP,REF-3CC1AF0142BE4AF6,2026-07-16 05:02:02
TX000018,W007746,U007746,,U007515,2,1,1,281146.19,2026-08-16 21:10:27,MOBILE_APP,REF-E5AB5192B5324700,2026-08-16 21:10:27
TX000019,W001976,U001976,,U001414,2,1,4,278799.9,2025-09-10 23:27:37,MOBILE_APP,REF-6B91073B7EBB48FF,2025-09-10 23:27:37
TX000020,W004944,U004944,,U000244,2,1,1,270610.31,2026-07-27 21:45:29,MOBILE_APP,REF-43C0F784F5764CE7,2026-07-27 21:45:29
TX000021,W001195,U001195,M000151,,6,6,1,789719.04,2026-04-11 19:13:43,BANK,REF-A0D86A153BB34F32,2026-04-11 19:13:43
TX000022,W009618,U009618,M000749,,1,2,1,4448607.21,2025-09-18 10:43:22,MOBILE_APP,REF-0672F5F134874999,2025-09-18 10:43:22
TX000023,W004796,U004796,M000077,,1,6,1,181394.67,2026-07-23 23:17:24,QRIS,REF-CF76624378084E1B,2026-07-23 23:17:24
TX000024,W000447,U000447,,U005754,2,1,1,652685.48,2026-08-14 21:43:06,MOBILE_APP,REF-75DDD9BE33204E5E,2026-08-14 21:43:06
TX000025,W000691,U000691,M000001,,1,6,1,436813.7,2026-07-17 15:22:58,MOBILE_APP,REF-E19917477361461D,2026-07-17 15:22:58
TX000026,W002718,U002718,,,3,6,1,200000.0,2025-12-07 10:21:57,BANK,REF-6656837A6B394A89,2025-12-07 10:21:57
TX000027,W000821,U000821,,,4,6,1,200000.0,2026-02-05 11:16:20,BANK,REF-CED94284D01E4220,2026-02-05 11:16:20
TX000028,W007692,U007692,M000696,,1,1,1,6885554.42,2026-07-29 17:56:25,QRIS,REF-EC5BD122960D4A79,2026-07-29 17:56:25
TX000029,W008749,U008749,,U002459,2,1,2,597507.01,2025-06-10 17:39:11,MOBILE_APP,REF-59530ABD5C744204,2025-06-10 17:39:11
TX000030,W002483,U002483,M000873,,1,1,1,5101192.47,2025-05-14 17:01:49,MOBILE_APP,REF-CB845989D30C4E6A,2025-05-14 17:01:49
