wallet_id,user_id,balance,currency,status,created_at,updated_at
W000001,U000001,13522.88,IDR,ACTIVE,2024-06-23 11:00:00,2025-10-21 11:00:00
W000002,U000002,19434.67,IDR,ACTIVE,2025-01-15 03:00:00,2026-03-10 03:00:00
W000003,U000003,182158.83,IDR,ACTIVE,2026-04-27 10:00:00,2026-08-23 00:00:00
W000004,U000004,55763.77,IDR,ACTIVE,2024-02-20 15:00:00,2025-05-22 15:00:00
W000005,U000005,129682.94,IDR,ACTIVE,2024-12-27 07:00:00,2025-10-01 07:00:00
W000006,U000006,131027.16,IDR,ACTIVE,2026-04-27 02:00:00,2026-08-23 00:00:00
W000007,U000007,48431.72,IDR,ACTIVE,2026-07-05 13:00:00,2026-08-23 00:00:00
W000008,U000008,102971.03,IDR,ACTIVE,2025-10-20 13:00:00,2026-06-30 13:00:00
W000009,U000009,45494.93,IDR,ACTIVE,2024-11-30 20:00:00,2025-06-06 20:00:00
W000010,U000010,37902.85,IDR,ACTIVE,2025-08-13 21:00:00,2026-03-12 21:00:00
W000011,U000011,30058.12,IDR,ACTIVE,2026-07-28 00:00:00,2026-08-23 00:00:00
W000012,U000012,95577.25,IDR,ACTIVE,2026-04-15 17:00:00,2026-07-27 17:00:00
W000013,U000013,222038.47,IDR,ACTIVE,2026-05-09 23:00:00,2026-08-23 00:00:00
W000014,U000014,193126.75,IDR,CLOSED,2025-03-25 18:00:00,2025-07-17 18:00:00
W000015,U000015,17041.97,IDR,ACTIVE,2024-06-06 13:00:00,2024-11-18 13:00:00
W000016,U000016,217336.7,IDR,ACTIVE,2025-07-22 01:00:00,2025-10-20 01:00:00
W000017,U000017,24192.18,IDR,ACTIVE,2024-11-22 10:00:00,2025-08-09 10:00:00
W000018,U000018,69008.15,IDR,ACTIVE,2026-08-05 01:00:00,2026-08-23 00:00:00
W000019,U000019,81938.41,IDR,ACTIVE,2025-01-17 09:00:00,2026-02-03 09:00:00
W000020,U000020,13566.99,IDR,ACTIVE,2025-02-25 11:00:00,2025-09-05 11:00:00
W000021,U000021,50279.47,IDR,ACTIVE,2024-03-27 22:00:00,2024-07-28 22:00:00
W000022,U000022,233320.45,IDR,ACTIVE,2024-04-12 17:00:00,2025-02-01 17:00:00
W000023,U000023,6512.18,IDR,ACTIVE,2025-09-06 07:00:00,2026-02-06 07:00:00
W000024,U000024,672513.71,IDR,ACTIVE,2025-02-17 11:00:00,2025-04-28 11:00:00
W000025,U000025,8332.43,IDR,ACTIVE,2026-04-18 10:00:00,2026-08-23 00:00:00
W000026,U000026,79859.84,IDR,ACTIVE,2025-09-12 10:00:00,2025-10-21 10:00:00
W000027,U000027,14130.27,IDR,ACTIVE,2026-03-03 10:00:00,2026-08-23 00:00:00
W000028,U000028,93419.33,IDR,ACTIVE,2024-06-20 16:00:00,2025-10-13 16:00:00
W000029,U000029,183683.05,IDR,ACTIVE,2024-04-10 04:00:00,2024-11-02 04:00:00
W000030,U000030,133997.27,IDR,ACTIVE,2025-12-28 17:00:00,2026-08-23 00:00:00
W000031,U000031,14537.34,IDR,CLOSED,2024-01-18 20:00:00,2024-04-30 20:00:00
W000032,U000032,159192.95,IDR,ACTIVE,2024-06-22 08:00:00,2025-06-03 08:00:00
W000033,U000033,45689.72,IDR,ACTIVE,2025-12-07 04:00:00,2026-08-01 04:00:00
W000034,U000034,14916.45,IDR,FROZEN,2024-10-04 12:00:00,2024-11-29 12:00:00
W000035,U000035,231431.54,IDR,ACTIVE,2026-08-06 16:00:00,2026-08-23 00:00:00
W000036,U000036,488652.81,IDR,ACTIVE,2024-09-09 12:00:00,2025-10-09 12:00:00
W000037,U000037,65598.93,IDR,ACTIVE,2026-01-29 22:00:00,2026-08-23 00:00:00
W000038,U000038,40926.95,IDR,ACTIVE,2025-04-24 16:00:00,2026-08-02 16:00:00
W000039,U000039,27442.72,IDR,ACTIVE,2026-06-02 12:00:00,2026-08-23 00:00:00
W000040,U000040,124900.08,IDR,ACTIVE,2026-01-25 23:00:00,2026-06-02 23:00:00
W000041,U000041,167753.29,IDR,ACTIVE,2024-07-15 13:00:00,2025-07-20 13:00:00
W000042,U000042,40944.11,IDR,ACTIVE,2026-03-30 06:00:00,2026-08-23 00:00:00
W000043,U000043,295787.71,IDR,ACTIVE,2025-11-12 00:00:00,2026-02-27 00:00:00
W000044,U000044,114083.94,IDR,ACTIVE,2024-12-17 17:00:00,2025-06-11 17:00:00
W000045,U000045,64855.39,IDR,CLOSED,2026-07-04 08:00:00,2026-08-23 00:00:00
W000046,U000046,82531.07,IDR,ACTIVE,2024-12-10 14:00:00,2025-12-30 14:00:00
W000047,U000047,22295.37,IDR,ACTIVE,2024-12-23 05:00:00,2025-07-22 05:00:00
W000048,U000048,123381.68,IDR,ACTIVE,2025-01-06 03:00:00,2025-10-25 03:00:00
W000049,U000049,23648.94,IDR,ACTIVE,2024-07-24 03:00:00,2025-09-04 03:00:00
W000050,U000050,36165.88,IDR,ACTIVE,2026-01-06 04:00:00,2026-04-07 04:00:00
W000051,U000051,55666.97,IDR,ACTIVE,2024-05-28 18:00:00,2025-09-27 18:00:00
W000052,U000052,396043.29,IDR,ACTIVE,2025-10-01 02:00:00,2026-08-23 00:00:00
W000053,U000053,75975.89,IDR,ACTIVE,2024-04-06 05:00:00,2025-07-27 05:00:00
W000054,U000054,25828.35,IDR,ACTIVE,2024-10-26 07:00:00,2025-01-05 07:00:00
W000055,U000055,82847.62,IDR,ACTIVE,2024-10-14 22:00:00,2024-10-14 22:00:00
W000056,U000056,106998.24,IDR,ACTIVE,2024-04-28 05:00:00,2024-10-23 05:00:00
W000057,U000057,200632.6,IDR,ACTIVE,2026-04-19 21:00:00,2026-08-23 00:00:00
W000058,U000058,58437.52,IDR,ACTIVE,2025-01-03 23:00:00,2025-02-20 23:00:00
W000059,U000059,29512.24,IDR,ACTIVE,2026-01-19 11:00:00,2026-06-08 11:00:00
W000060,U000060,545716.92,IDR,ACTIVE,2024-01-05 11:00:00,2024-05-26 11:00:00
W000061,U000061,83033.09,IDR,ACTIVE,2025-12-07 17:00:00,2026-08-23 00:00:00
W000062,U000062,25974.63,IDR,ACTIVE,2026-01-26 10:00:00,2026-08-23 00:00:00
W000063,U000063,57929.08,IDR,ACTIVE,2024-12-06 07:00:00,2025-01-18 07:00:00
W000064,U000064,36183.18,IDR,ACTIVE,2026-04-23 00:00:00,2026-05-19 00:00:00
W000065,U000065,214884.65,IDR,ACTIVE,2024-03-29 11:00:00,2024-10-20 11:00:00
W000066,U000066,105925.08,IDR,ACTIVE,2026-02-20 00:00:00,2026-06-03 00:00:00
W000067,U000067,43790.12,IDR,ACTIVE,2026-02-27 16:00:00,2026-05-15 16:00:00
W000068,U000068,167865.67,IDR,ACTIVE,2024-04-16 15:00:00,2024-07-22 15:00:00
W000069,U000069,53446.55,IDR,ACTIVE,2026-06-04 21:00:00,2026-08-23 00:00:00
W000070,U000070,56621.71,IDR,ACTIVE,2024-05-09 00:00:00,2024-10-13 00:00:00
W000071,U000071,28769.58,IDR,ACTIVE,2024-11-14 18:00:00,2026-01-04 18:00:00
W000072,U000072,28560.15,IDR,ACTIVE,2025-09-08 12:00:00,2026-03-11 12:00:00
W000073,U000073,499315.56,IDR,ACTIVE,2025-05-07 03:00:00,2025-12-11 03:00:00
W000074,U000074,159189.02,IDR,ACTIVE,2025-12-14 18:00:00,2026-08-23 00:00:00
W000075,U000075,9779.18,IDR,ACTIVE,2024-11-28 20:00:00,2025-02-07 20:00:00
W000076,U000076,23139.8,IDR,ACTIVE,2025-06-26 06:00:00,2025-09-09 06:00:00
W000077,U000077,19111.74,IDR,ACTIVE,2025-07-30 11:00:00,2025-08-29 11:00:00
W000078,U000078,63570.53,IDR,ACTIVE,2026-04-25 13:00:00,2026-07-22 13:00:00
W000079,U000079,39540.62,IDR,ACTIVE,2026-04-03 13:00:00,2026-08-23 00:00:00
W000080,U000080,268861.85,IDR,ACTIVE,2025-04-12 10:00:00,2025-10-26 10:00:00
W000081,U000081,43190.95,IDR,ACTIVE,2024-06-29 20:00:00,2024-10-14 20:00:00
W000082,U000082,435992.53,IDR,ACTIVE,2024-08-30 14:00:00,2025-03-15 14:00:00
W000083,U000083,55062.1,IDR,ACTIVE,2024-11-23 21:00:00,2025-11-06 21:00:00
W000084,U000084,570368.61,IDR,ACTIVE,2025-02-16 17:00:00,2025-05-16 17:00:00
W000085,U000085,48906.28,IDR,ACTIVE,2024-03-19 00:00:00,2025-01-08 00:00:00
W000086,U000086,49849.05,IDR,ACTIVE,2025-03-05 11:00:00,2025-12-08 11:00:00
W000087,U000087,155309.67,IDR,ACTIVE,2024-07-23 05:00:00,2025-04-15 05:00:00
W000088,U000088,131804.52,IDR,ACTIVE,2026-05-09 20:00:00,2026-08-23 00:00:00
W000089,U000089,16430.22,IDR,ACTIVE,2024-01-17 12:00:00,2024-09-12 12:00:00
W000090,U000090,65112.54,IDR,ACTIVE,2026-04-29 06:00:00,2026-08-23 00:00:00
W000091,U000091,39195.19,IDR,ACTIVE,2024-07-16 02:00:00,2025-02-04 02:00:00
W000092,U000092,36711.44,IDR,ACTIVE,2024-03-02 07:00:00,2024-03-10 07:00:00
W000093,U000093,64799.15,IDR,FROZEN,2025-01-24 09:00:00,2025-08-10 09:00:00
W000094,U000094,44884.33,IDR,ACTIVE,2026-05-19 03:00:00,2026-08-23 00:00:00
W000095,U000095,71898.66,IDR,ACTIVE,2024-10-02 23:00:00,2025-04-21 23:00:00
W000096,U000096,22213.89,IDR,ACTIVE,2024-10-05 16:00:00,2025-11-02 16:00:00
W000097,U000097,13319.08,IDR,ACTIVE,2025-02-18 07:00:00,2026-06-16 07:00:00
W000098,U000098,162055.44,IDR,ACTIVE,2024-03-01 22:00:00,2025-05-30 22:00:00
W000099,U000099,191839.0,IDR,FROZEN,2024-11-07 09:00:00,2025-09-14 09:00:00
W000100,U000100,151096.92,IDR,ACTIVE,2024-12-19 16:00:00,2026-02-14 16:00:00
W000101,U000101,61965.52,IDR,ACTIVE,2025-09-11 21:00:00,2026-05-24 21:00:00
W000102,U000102,41668.51,IDR,ACTIVE,2025-03-10 18:00:00,2025-04-20 18:00:00
W000103,U000103,32261.67,IDR,ACTIVE,2025-05-31 02:00:00,2026-01-07 02:00:00
W000104,U000104,27040.91,IDR,ACTIVE,2025-02-09 08:00:00,2026-04-21 08:00:00
W000105,U000105,55121.89,IDR,ACTIVE,2026-07-17 22:00:00,2026-08-23 00:00:00
W000106,U000106,186500.91,IDR,ACTIVE,2025-11-10 01:00:00,2026-03-07 01:00:00
W000107,U000107,29811.09,IDR,ACTIVE,2026-06-14 01:00:00,2026-08-23 00:00:00
W000108,U000108,186866.61,IDR,ACTIVE,2025-11-10 03:00:00,2026-05-27 03:00:00
W000109,U000109,13922.22,IDR,ACTIVE,2024-11-03 07:00:00,2025-12-01 07:00:00
W000110,U000110,75745.57,IDR,ACTIVE,2025-05-28 13:00:00,2025-08-27 13:00:00
W000111,U000111,92999.93,IDR,CLOSED,2025-04-11 16:00:00,2025-08-29 16:00:00
W000112,U000112,35561.95,IDR,ACTIVE,2025-05-22 10:00:00,2025-10-25 10:00:00
W000113,U000113,20943.06,IDR,ACTIVE,2025-08-11 09:00:00,2026-08-23 00:00:00
W000114,U000114,139541.66,IDR,ACTIVE,2026-06-03 17:00:00,2026-08-23 00:00:00
W000115,U000115,62435.91,IDR,ACTIVE,2024-01-02 14:00:00,2024-11-12 14:00:00
W000116,U000116,836238.5,IDR,ACTIVE,2025-10-30 04:00:00,2026-01-21 04:00:00
W000117,U000117,189757.62,IDR,ACTIVE,2025-11-19 11:00:00,2025-12-27 11:00:00
W000118,U000118,191486.71,IDR,FROZEN,2026-01-05 20:00:00,2026-01-05 20:00:00
W000119,U000119,5452.98,IDR,ACTIVE,2025-03-18 09:00:00,2025-12-12 09:00:00
W000120,U000120,30364.2,IDR,ACTIVE,2025-04-28 02:00:00,2025-05-16 02:00:00
W000121,U000121,18818.28,IDR,FROZEN,2024-03-13 23:00:00,2025-04-13 23:00:00
W000122,U000122,8259.87,IDR,ACTIVE,2026-06-14 23:00:00,2026-07-06 23:00:00
W000123,U000123,57622.95,IDR,ACTIVE,2025-09-14 21:00:00,2026-08-23 00:00:00
W000124,U000124,135776.57,IDR,ACTIVE,2024-06-14 05:00:00,2025-08-31 05:00:00
W000125,U000125,22847.65,IDR,ACTIVE,2024-10-01 00:00:00,2025-03-01 00:00:00
W000126,U000126,8672.69,IDR,ACTIVE,2025-01-23 18:00:00,2025-02-01 18:00:00
W000127,U000127,24615.71,IDR,ACTIVE,2025-12-24 03:00:00,2026-08-07 03:00:00
W000128,U000128,51034.21,IDR,ACTIVE,2026-08-10 19:00:00,2026-08-23 00:00:00
W000129,U000129,47463.99,IDR,ACTIVE,2025-02-07 06:00:00,2025-10-26 06:00:00
W000130,U000130,60508.9,IDR,ACTIVE,2026-03-22 19:00:00,2026-05-15 19:00:00
W000131,U000131,91008.17,IDR,ACTIVE,2024-05-02 12:00:00,2025-08-01 12:00:00
W000132,U000132,59043.32,IDR,ACTIVE,2025-02-26 09:00:00,2025-07-18 09:00:00
W000133,U000133,144208.31,IDR,ACTIVE,2024-05-05 00:00:00,2024-12-04 00:00:00
W000134,U000134,23237.19,IDR,ACTIVE,2025-08-19 20:00:00,2026-04-27 20:00:00
W000135,U000135,45569.47,IDR,FROZEN,2024-04-11 17:00:00,2024-09-05 17:00:00
W000136,U000136,107475.84,IDR,ACTIVE,2026-04-23 15:00:00,2026-08-23 00:00:00
W000137,U000137,79315.75,IDR,ACTIVE,2024-11-17 04:00:00,2026-02-25 04:00:00
W000138,U000138,374205.82,IDR,ACTIVE,2026-06-26 13:00:00,2026-08-23 00:00:00
W000139,U000139,24136.91,IDR,ACTIVE,2024-01-10 05:00:00,2025-04-20 05:00:00
W000140,U000140,109546.84,IDR,ACTIVE,2025-08-30 08:00:00,2025-11-16 08:00:00
W000141,U000141,31886.93,IDR,ACTIVE,2025-02-27 16:00:00,2025-12-16 16:00:00
